token	weight	state_id
aitpasanda	198	43422
aitpasaq	209	62008
aitpasañ	161	8135
aitpasañda	194	37768
aitpasañdar	216	74800
aitpasañyz	197	42640
aitpasyn	186	27569
aitpau	176	17169
aitpauğa	210	65129
aitpauşy	215	73076
aitpañdar	180	20668
aitpañyz	155	5950
aitpañyzdar	217	78073
aitpañyzşy	189	31025
aitpağaly	222	85292
aitpağan	152	4987
aitpağanda	194	37215
aitpağandy	212	69089
aitpağany	213	70767
aitpağanym	217	76912
aitpaşy	160	8043
aitpese	231	95403
aitqa	210	1522
aitqali	209	62265
aitqaly	209	62928
aitqam	231	95453
aitqan	231	1523
aitqanan	213	69764
aitqanbyz	209	62058
aitqanda	138	2131
aitqandai	150	4486
aitqandardyñ	230	94695
aitqandary	203	15733
aitqandarymdy	207	59352
aitqandaryn	194	37633
aitqandaryñ	174	15734
aitqandaryña	225	89411
aitqandaryñdy	211	66837
aitqandaryñyz	179	19330
aitqandy	161	8278
aitqanmen	194	37520
aitqanmyn	172	13891
aitqannan	179	19361
aitqannyñ	207	58687
aitqansyz	211	66594
aitqansyñ	190	32158
aitqany	157	1524
aitqanym	231	8163
aitqanyma	187	28551
aitqanymda	215	67489
aitqanymdai	212	67490
aitqanymdy	161	8165
aitqanymen	199	45595
aitqanymmen	221	83926
aitqanymnan	210	64247
aitqanymnyñ	222	85120
aitqanymyz	218	78565
aitqanyn	150	4305
aitqanyna	184	24369
aitqanynan	193	35877
aitqanyz	203	52443
aitqanyñ	231	1525
aitqanyña	188	29527
aitqanyñda	208	60539
aitqanyñdy	173	14894
aitqanyñnan	216	75964
aitqanyñnyñ	221	83370
aitqanyñyz	134	1527
aitqanyñyzdy	197	41891
aitqanyñyzğa	211	66929
aitqanğa	185	25972
aitqanğo	195	38502
aitqanşa	198	42795
aitqasyn	189	31229
aitqym	147	3718
aitqymda	222	85304
aitqyn	180	20420
aitqysy	176	16680
aitqyza	197	41635
aitqyzbai	194	36944
aitqyzu	216	75392
aitqyzyp	185	25633
aitqyñ	163	9211
aitqyñyz	190	32558
aitqyş	215	73685
aitsa	132	414
aitsada	174	15542
aitsai	231	17038
aitsaişy	176	17040
aitsam	113	415
aitsamda	177	17688
aitsan	231	26937
aitsanda	186	26939
aitsandar	196	40875
aitsanşy	198	44250
aitsaq	168	11606
aitsaqta	213	70090
aitsañ	130	1152
aitsañda	177	18077
aitsañdar	186	27346
aitsañdarşy	193	36794
aitsañyz	153	5384
aitsañyzda	214	41910
aitsañyzdar	197	41911
aitsañyzşy	169	12148
aitsañşy	182	22449
aitsaşy	216	75239
aitsyn	156	6223
aitta	231	56389
aittady	206	56391
aittaiyn	217	77022
aittau	227	90926
aittv	217	78016
aittvm	219	80090
aitty	231	1020
aittym	231	4565
aittyma	159	7282
aittymba	184	24195
aittymda	203	50965
aittymğo	151	4567
aittymğoi	164	9579
aittyn	148	3883
aittynba	179	19908
aittyngo	186	26503
aittyp	159	7596
aittyq	165	10190
aittyryp	215	73913
aittys	218	78459
aittyñ	128	1021
aittyñba	165	10008
aittyñdar	189	30801
aittyñdarma	221	82962
aittyñyz	159	7560
aittyñyzba	204	53703
aittyñyzğoi	221	83597
aittyñğo	175	16520
aittyñğoi	196	40921
aittyğo	168	11834
aittyğoi	185	25973
aitu	231	8656
aituda	204	25709
aitudan	185	25710
aitudy	168	11510
aitudyñ	179	19912
aituly	202	50145
aitumova	215	72709
aituy	169	8657
aituym	162	8658
aituymen	212	67734
aituymyz	208	59895
aituyn	188	20833
aituyna	212	67587
aituynşa	181	20835
aituyña	222	85302
aituyñyz	208	60182
aituğa	231	68207
aituğada	212	68209
aituşy	166	10656
aitylady	166	10665
aitylatyn	177	17469
aityldy	231	96870
aitylmady	208	60535
aitylmaidy	207	58722
aitylmağan	190	32637
aitylsa	201	48937
aitylu	196	25294
aityluy	185	25295
aitylyp	169	12381
aitylypty	221	83774
aitylğan	231	95379
aitym	231	22934
aitymğo	183	22936
aityn	231	32638
aitynba	196	40873
aityndar	231	32641
aityndarşy	190	32643
aityp	231	36938
aityppa	210	63927
aityppyn	198	43977
aitypsyz	208	61310
aitypsyñ	194	36941
aitypty	231	95886
aitys	231	29721
aitysker	202	50284
aitysqa	205	55761
aitysqan	228	92573
aitysty	214	72289
aitysy	188	29722
aitysyn	218	78634
aitysyp	194	36890
aityñ	231	37938
aityñba	197	42484
aityñdar	231	95679
aityñdarşy	231	96993
aityñyz	231	37940
aityñyzdar	231	37943
aityñyzdarşy	194	37945
aityñyzşy	231	95681
aitöre	205	54627
aitşiş	167	11062
aitşy	231	94792
aiu	144	3181
aiuan	231	96148
aiudai	218	79514
aiudyñ	206	56242
aiular	204	53064
aiuğa	215	73936
aiy	231	2424
aiyby	199	44738
aiyl	218	78265
aiym	231	23343
aiymda	209	62811
aiymdy	187	28240
aiymen	223	85830
aiymgul	203	51349
aiymgül	185	26239
aiymhan	214	72118
aiymjan	183	23346
aiymnan	207	58585
aiymnyñ	188	29044
aiymğa	187	27719
aiyna	140	2426
aiynan	187	27901
aiynda	231	50225
aiyndağy	202	50227
aiynyñ	169	12376
aiyon	220	81608
aiyp	231	35931
aiyppūl	198	43263
aiypqa	193	35933
aiyptama	219	80748
aiyptau	221	84270
aiypty	216	74936
aiyq	229	93578
aiyr	182	5755
aiyra	182	22285
aiyram	231	96430
aiyrbas	209	36604
aiyrbastap	193	36607
aiyrbastau	210	63514
aiyrdy	205	55396
aiyrdyñ	223	86802
aiyrly	216	46016
aiyrlyp	200	46017
aiyrlysyp	206	56986
aiyrma	211	15946
aiyrmai	226	89841
aiyrmasy	199	24177
aiyrmasyn	184	24178
aiyrmaşylyq	175	15951
aiyrmaşylyğy	231	41750
aiyrmaşylyğyn	197	41751
aiyru	187	27881
aiyruğa	210	65221
aiyryldy	208	60930
aiyryldym	208	60984
aiyrylma	223	69518
aiyrylmai	216	74888
aiyrylmas	213	69519
