token	weight	state_id
ءوزىڭىز	164	8850
ءوزىڭىزدى	204	45025
ءوزىڭىزدىڭ	216	45469
ءوزىڭىزدە	208	54410
ءوزىڭىزدەگى	212	79516
ءوزىڭىزشى	222	87532
ءوزىڭىزگە	195	27626
ءوزىڭىزگەدە	225	76025
ءوزىڭە	166	8728
ءوزىڭەدە	204	32398
ءوزڭ	216	60736
ءوزڭدى	214	64905
ءوزڭدە	224	90485
ءوزڭشى	227	111115
ءوزڭىز	222	79732
ءوزڭە	214	60737
ءوزگەرتىپ	208	51814
ءوزگەرىس	220	63300
ءوزگەرىپ	197	32291
ءوزەن	225	111298
ءوزەنگە	226	112857
ءوستىپ	167	9557
ءوسكەن	222	87045
ءوسىرىپ	226	94215
ءوسىم	216	48861
ءوسىمى	214	48862
ءوسىمىن	221	72042
ءوسىپ	196	31311
ءوسپە	228	70425
ءوسەك	192	23740
ءوش	200	12094
ءوشىر	206	12096
ءوشىردىم	217	67928
ءوشىرىپ	172	12098
ءوشىرە	205	42965
ءوشىرەت	226	103697
ءوشىن	217	76760
ءوشىپ	204	36706
ءوكىل	190	22407
ءوكىنىپ	220	85777
ءوكپەلەپ	227	103657
ءولتىرىپ	204	40462
ءولتىرەدى	225	106947
ءولدى	209	28079
ءولدىك	230	112679
ءولدىم	193	28080
ءولسىن	225	87403
ءولسە	225	82149
ءولسەم	220	82150
ءولسەمدە	226	97365
ءولى	223	7418
ءولىم	198	41574
ءولىمگە	210	46843
ءولىپ	161	7419
ءولگەلى	212	54044
ءولگەن	209	47915
ءولگەندە	227	104900
ءولگەنشە	227	96537
ءولە	204	40196
ءولەتىن	205	44917
ءولەدى	216	69532
ءولەسىڭ	224	96601
ءولەم	212	58041
ءولەيىن	217	68028
ءولەڭ	208	50659
ءومىر	144	3041
ءومىراي	217	86856
ءومىردى	206	18706
ءومىردىڭ	184	18707
ءومىردە	185	21432
ءومىردەن	202	45694
ءومىردەگى	221	78356
ءومىرلىك	210	56147
ءومىرى	190	22918
ءومىرىم	208	52848
ءومىرىمدى	220	79872
ءومىرىمدە	215	65987
ءومىرىمنىڭ	226	101741
ءومىرىن	223	100953
ءومىرىڭ	210	58204
ءومىرىڭدى	218	83503
ءومىرگە	202	41905
ءونمى	221	86067
ءونمىن	223	91365
ءونىم	170	11190
ءونىمدى	185	15073
ءونىمنىڭ	216	82108
ءونىمى	190	20045
ءونىمىن	197	24643
ءونە	226	72727
ءونەر	215	72728
ءونەرىڭ	226	84333
ءويتىپ	213	59121
ءوڭكەي	227	94526
ءوڭى	220	82454
ءىدىس	224	83986
ءىرى	222	81716
ءىرەنجىپ	229	111218
ءىزدەپ	178	15532
ءىزى	228	111156
ءىس	162	6691
ءىستى	205	41769
ءىستىق	192	41770
ءىستىقتا	220	113826
ءىستىڭ	218	77386
ءىستە	202	6693
ءىستەتىپ	202	34100
ءىستەدىم	225	96506
ءىستەر	223	43609
ءىستەرىڭ	214	43611
ءىستەسەم	229	105248
ءىستەسەڭ	225	100350
ءىستەمەدىم	228	108130
ءىستەمەي	215	63076
ءىستەن	201	38237
ءىستەي	199	32297
ءىستەيتىن	197	34461
ءىستەيدى	210	46007
ءىستەيسىڭ	216	66186
ءىستەيمىز	226	98136
ءىستەيمىن	205	47683
ءىستەيىن	218	71331
ءىستەپ	160	6694
ءىستەگەن	194	35036
ءىسز	223	89400
ءىسكە	192	27410
ءىسى	200	20431
ءىسىم	216	78116
ءىسىپ	190	26870
ءىسىڭ	191	20432
ءىسپ	219	110997
ءىش	156	616
ءىشتى	208	25228
ءىشتىك	215	71543
ءىشتىم	191	25229
ءىشتىڭ	213	38265
ءىشتىڭبە	205	38267
ءىشتەمە	217	73418
ءىشتەي	225	94686
ءىشسىن	226	104455
ءىشسە	219	62819
ءىشسەك	228	106070
ءىشسەم	221	83176
ءىشسەڭ	212	62820
ءىشقىپ	227	91055
ءىشكى	209	45225
ءىشكىم	204	45226
ءىشكەلى	207	44528
ءىشكەم	216	70150
ءىشكەن	200	36928
ءىشندە	207	54006
ءىشى	174	617
ءىشىم	183	18784
ءىشىن	202	22261
ءىشىندە	186	22263
ءىشىندەگى	225	89185
ءىشىنە	211	62578
ءىشىنەن	223	91686
ءىشىپ	104	618
ءىشىڭ	203	41462
ءىشىڭدەر	223	76768
ءىشىڭىز	220	64095
ءىشپ	192	28713
ءىشپە	207	43203
ءىشپەدىم	218	87732
ءىشپەي	206	43204
ءىشپەيمىن	211	60031
ءىشۋ	213	54780
ءىشە	187	21084
ءىشەتىن	198	33861
ءىشەدى	211	53338
ءىشەسىڭ	216	67315
ءىشەسىڭبە	228	110008
ءىشەم	205	42337
ءىشەمىز	208	45837
ءىشەمىن	219	80860
ءىشەيىك	193	26447
ءىشەيىن	207	49084
ءىلىنىپ	222	84515
ءىلىپ	200	33465
ءىلگەرى	206	33708
ءىنجۋ	214	60988
ءىنسى	216	74739
ءىنم	217	83601
ءىنىسى	216	82897
ءىنىم	182	19043
ءىنىڭ	227	103244
ءىيا	211	65495
ءىيت	218	74890
ءيا	128	1849
ءياجانىم	207	47811
ءيت	189	23725
ءيتتىڭ	217	87768
ءيس	229	39782
ءيسكەپ	222	78508
